Number,State,Value,Param clip_range,Param ent_coef,Param gamma,Param learning_rate,Param lstm_hidden_size,Param recurrent_batch_size,Param recurrent_n_epochs,Param recurrent_n_steps
34,COMPLETE,-2.513986349105835,0.12872007404863395,0.3813599903750579,0.9643309192742019,0.00018242098728044788,128,64,3,64
35,PRUNED,-2.6149191856384277,0.13453362875986669,0.1955178825166057,0.9652629661237672,0.0002125096403651256,128,64,3,64
36,PRUNED,-3.2559642791748047,0.22734947108521547,0.014065995805109187,0.9620890398041462,0.0007340324121422884,256,64,5,64
37,PRUNED,-2.578620195388794,0.11360849047712235,0.38667442106438515,0.9580191464818162,0.0004952756635874962,128,128,3,256
38,PRUNED,-2.626817464828491,0.16272742298036427,0.23842363639455372,0.9770147115060662,0.00032798118729942334,128,64,5,64
39,PRUNED,-3.3819305896759033,0.17986149857777117,0.49124017070819037,0.9889186159617274,0.00012333512943285348,32,64,3,128
40,PRUNED,-3.3074898719787598,0.24880151834752062,0.03270611191619227,0.9827221716972874,0.00017454090813129571,256,128,10,64
41,PRUNED,-4.279045104980469,0.3639077967646668,0.058623996775196065,0.9594974077614804,2.1463126483472223e-05,128,32,5,256
42,PRUNED,-2.600261926651001,0.14406356703640857,0.3281026710711971,0.953289400682928,6.769783237523566e-05,128,64,3,64
43,PRUNED,-4.279045104980469,0.12434741658145898,0.13029665318254563,0.9660177675711558,0.00014932233377733394,128,64,3,64
44,PRUNED,-4.28360652923584,0.15851077379985634,0.17367798452275673,0.9552037187752324,4.7295872219029655e-05,128,64,3,64
45,PRUNED,-2.8668370246887207,0.13868992512239103,0.3127559060925633,0.9527848098259473,0.00010580828174352758,32,64,3,512
46,PRUNED,-2.618795871734619,0.19383410730621867,0.4199312284939766,0.970451208419972,0.00020731821712135297,64,64,5,64
47,PRUNED,-3.359466075897217,0.2675574192337871,0.22860097015761538,0.9616996678476175,0.0003691979171780841,128,128,3,128
48,FAIL,,0.11416716893413822,0.11035873131843453,0.9635231556524725,7.431634627878791e-05,32,64,5,64
49,PRUNED,-4.279045104980469,,0.12552205021252302,0.9408835393676045,3.6598273841570125e-05,32,64,5,64
50,PRUNED,-2.636823892593384,,0.28354846737088263,0.9246107178934652,0.00016888300560517563,64,64,5,128
51,PRUNED,-2.9515814781188965,,0.3966612085991719,0.9302579822709967,0.000254097173576092,256,64,10,64
52,PRUNED,-4.20276403427124,,0.07403211627060177,0.9434177859968977,1.1291097791355626e-05,128,64,3,256
53,PRUNED,-2.6075665950775146,,0.3060316883905188,0.9433748865816223,0.00014675452980380036,128,64,3,64
54,PRUNED,-4.279045104980469,,0.1848516134950232,0.9103397907788917,8.010884685802327e-05,128,64,3,64
55,PRUNED,-2.5765228271484375,,0.22912139179044871,0.9458414459247774,0.000140547356364024,128,64,3,64
56,PRUNED,-2.573120594024658,,0.33238558651203737,0.9476698472681642,0.0005209955841005913,128,64,3,64
57,PRUNED,-2.646568775177002,,0.40970370437377,0.9408716676653407,0.0008026762334516793,64,64,3,64
58,PRUNED,-2.5973784923553467,,0.2755662375642042,0.9354232978445168,0.00010053513113030393,32,32,5,128
59,PRUNED,-3.3329811096191406,,0.11001298257198913,0.9364882376049376,0.0006612770328654227,128,64,3,512
60,PRUNED,-3.382328510284424,,0.14555640525715013,0.9226864030393405,0.00026404805320713517,64,64,5,64
61,PRUNED,-4.279045104980469,,0.019400580272492154,0.9984558943699504,0.0009606261224252232,128,128,3,64
62,PRUNED,-3.5075316429138184,,0.16541737785604904,0.9486463813805426,8.568211588468866e-05,32,64,5,128
63,PRUNED,-2.734307289123535,,0.21497914927035455,0.9508993243806774,0.0004289423058253617,64,64,3,128
64,PRUNED,-3.3059229850769043,,0.08205254862975962,0.9461351374760528,0.0003946923625413613,64,64,3,128
65,PRUNED,-2.69061279296875,,0.35268522143165354,0.9728732589612104,0.00020517700767336204,64,64,3,128
66,PRUNED,-2.663313388824463,,0.2736691986107333,0.963767985091867,0.00024076298466518605,64,64,3,128
67,PRUNED,-2.7493319511413574,,0.4522529923602279,0.9372119546441526,0.0003090071500735868,128,64,10,64
68,PRUNED,-4.199443340301514,,0.15741756820178807,0.9556123086100994,0.00011440356731094142,64,32,3,64
69,PRUNED,-3.2424278259277344,,0.1953902430732498,0.9020782888510923,0.0005750185927053749,256,64,3,256
70,PRUNED,-2.5663440227508545,,0.10698410631771907,0.9499948604664639,0.0007425238732773729,128,64,5,128
71,PRUNED,-2.663541793823242,,0.24695601947208434,0.9670086849732482,0.00015086033303617126,32,64,3,512
