Number,State,Value,Param batch_size,Param exploration_final_eps,Param exploration_fraction,Param gamma,Param gradient_steps,Param learning_rate,Param net_arch,Param tau
48,PRUNED,-3.6129441261291504,32,0.18549749558610784,0.272471099390157,0.9025293999862438,2,0.000810656187251469,256_256,0.007512980762117067
49,PRUNED,-3.686689853668213,32,0.2686798720762783,0.4159862754125331,0.9511410705796997,2,3.7911482246002866e-05,128_128,0.042721193878689105
50,PRUNED,-3.7358365058898926,64,0.2496660918143217,0.25497743136305207,0.9584121574157107,1,8.041607306774144e-05,64_64,0.02005020232760401
51,PRUNED,-3.8864378929138184,128,0.12391980152149701,0.2031895151342667,0.9251785083592853,2,0.00010915764204978122,64_64_64,0.009174687609394383
52,PRUNED,-3.7723801136016846,32,0.13677588656038595,0.1723032183363138,0.9733309290962202,2,0.0004349431885514752,64_64,0.015717264088645808
53,PRUNED,-3.5880954265594482,32,0.0809776548434366,0.14029464561597846,0.9281461413291582,2,0.000596627614772265,64_64,0.026941815197957592
54,PRUNED,-3.5590691566467285,32,0.09631972908417194,0.15016177691910532,0.9716812286834882,2,0.0009785823532349163,64_64,0.030810700410874435
55,PRUNED,-3.587129592895508,32,0.052705794303370926,0.16064993230737093,0.9341688945751753,2,0.0003157405948808052,64_64,0.038188708756953925
56,PRUNED,-3.5349040031433105,32,0.024337626922469636,0.11408955331043173,0.9143069857792563,2,0.0005384659335907824,64_64,0.024788076599725782
57,PRUNED,-3.5784707069396973,32,0.06466922909117898,0.20455472116464996,0.9713057326380445,2,0.0003807138481055029,64_64,0.013212993227861566
58,COMPLETE,-3.443188428878784,32,0.10853350489608482,0.18541578538238945,0.9880394337120619,2,0.0007465787276777501,64_64_64,0.005585344269739861
59,PRUNED,-3.548813581466675,32,0.14333763373548458,0.18239100035322764,0.9881726215879717,2,0.0007584498772913689,64_64_64,0.005654615579040264
60,PRUNED,-3.5844833850860596,256,0.16356376595484795,0.241486999365285,0.982047164043199,1,0.0004568785862519424,64_64_64,0.00464062574189986
61,PRUNED,-3.6295223236083984,32,0.10746536477155037,0.219240258680466,0.9612327387512212,4,0.00022458533918854324,64_64_64,0.003142762766551286
62,PRUNED,-4.161517143249512,128,0.12259351535968624,0.1935443844173316,0.9800690200945738,2,0.0001604388864637001,64_64_64,0.005595953353367545
63,FAIL,,32,0.08743477252265908,0.15489305222099953,0.9436688258832527,2,0.0005109363264080967,128_128,0.04230187774737439
